File Path,Line Number,Defect Type,Category,Description
Dockerfile,6,DEBUG environment variable,OWASP:A05,"Error "
Dockerfile,7,Hardcoded SECRET_KEY,OWASP:A02,"Error "
Dockerfile,9,reload enabled,OWASP:A05,"Warning "
src/auth/dependencies.py,11,HTTPBearer without custom configuration,OWASP:A07,"Warning "
src/auth/dependencies.py,54,Token exposed in error,OWASP:A05,"Error "
src/auth/dependencies.py,60,No user status check,OWASP:A07,"Warning "
src/auth/dependencies.py,2,"token is string, but Depends(security) returns HTTPAuthorizationCredentials",CodeStyle,Info
src/auth/dependencies.py,42,Нет логирования попыток доступа админов,OWASP:A07,"Info "
src/auth/dependencies.py,47,Raclure of user info,OWASP:A05,"Warning "
src/auth/dependencies.py,49:52,require_admin duplicates get_admin_user,STYLE,"Info "
src/auth/dependencies.py,54,get_user_from_token missing validation,OWASP:A07,"Warning "
src/auth/dependencies.py,59,decode_token might return None,OWASP:A07,"Info "
src/auth/dependencies.py,63,Missing type check| payload.get('user_id') might be non-integer,OWASP:A07,"Warning "
src/auth/dependencies.py,61,Молчаливое возвращение None,OWASP:A07,"Info "
src/auth/dependencies.py,70,"Функция check_owner возвращает True в случае успеха, тогда как по конвенции зависимости FastAPI должны возвращать объект пользователя или вызывать исключение.",STYLE,"Warning "
src/auth/dependencies.py,72,Weak comparison,OWASP:A01,"Error "
src/auth/models.py,5,SRP violation,SOLID:SRP,"Warning "
src/auth/models.py,9,No email validation,OWASP:A01,"Error "
src/auth/models.py,10,No username validation,OWASP:A01,"Error "
src/auth/models.py,11,No password complexity check| password_hash without complexity validation,OWASP:A02,"Error "
src/auth/models.py,13,is_admin easily changed,OWASP:A01,Warning 
src/auth/models.py,1,No log of changes,OWASP:A01,Info
src/auth/models.py,15:16,No auth block because of too much login atemptss,OWASP:A01,Info
src/auth/models.py,19,Mixed docstring styles,STYLE:8,Info
src/auth/models.py,20,Information leak in logs,OWASP:A05,"Warning "
src/auth/models.py,22,camelCase method name,STYLE:9,"Info "
src/auth/models.py,28,Password in dictionary,OWASP:A02,"Error "
src/auth/models.py,29,camelCase in response | 'isAdmin': self.is_admin violates naming,STYLE:10,"Info "
src/auth/models.py,47,No foreign key,OWASP:A01,"Info "
src/auth/models.py,48,Token stored plaintext | token = Column(String(500)) should be hashed,OWASP:A02,"Error "
src/auth/models.py,50:51,No expiry validation,OWASP:A02,"Info "
src/auth/routes.py,25,No rate limiting on register,OWASP:A07,Warning
src/auth/routes.py,33,Information disclosure | 'User already registered' leaks existence,OWASP:A07,"Warning "
src/auth/routes.py,38,No rate limiting on login,OWASP:A07,"Warning "
src/auth/routes.py,43:47,No invalid login atempts log,OWASP:A07,Warning
src/auth/routes.py,49:53,No user status validation,OWASP:A07,Warning
src/auth/routes.py,51,sub should be ID not username,OWASP:A07,"Warning "
src/auth/routes.py,58,User ID exposure,OWASP:A05,"Warning "
src/auth/routes.py,66,IDOR vulnerability,OWASP:A01,Error
src/auth/routes.py,78,No data filtering,OWASP:A01,Info
src/auth/routes.py,83,Missing type annotation,STYLE:14,"Info "
src/auth/routes.py,89,Check of avalibility only after reading data,OWASP:A01,Warning
src/auth/routes.py,91,Can update is_admin,OWASP:A01,Error
src/auth/routes.py,108,No confirmation on delete,OWASP:A01,"Warning "
src/auth/routes.py,108,No delete logging,OWASP:A05,Warning
src/auth/routes.py,113,Empty response,STYLE:15,Info
src/auth/routes.py,119,Admin can give admin rights,OWASP:A01,"Warning "
src/auth/routes.py,124,No promotion logging,OWASP:A05,Warning
src/auth/routes.py,137,Database models returned directly,OWASP:A01,"Error "
src/auth/routes.py,147:150,Query string password parameter,OWASP:A07,Error
src/auth/routes.py,147:150,No password history check,OWASP:A07,Info
src/auth/routes.py,147:150,No password complexity,OWASP:A02,"Warning "
src/auth/routes.py,149,Import in function,STYLE:17,Info
src/auth/routes.py,151,No rate limiting on password change,OWASP:A07,Warning
src/auth/routes.py,151:152,No wrong password logging,OWASP:A07,Warning
src/auth/routes.py,154,Token exposure vulnerability,OWASP:A01,Error
src/auth/routes.py,157,No password change log,OWASP:A05,Warning
src/auth/routes.py,164,Debug token in production,OWASP:A01,Error
src/auth/routes.py,181,Token payload exposed,OWASP:A05,Warning
src/auth/routes.py,165:174,Endpoin avalible without auth,OWASP:A01,"Error "
src/auth/routes.py,-,Inconsistent response format,STYLE:18,Info
src/auth/routes.py,176:179,Token not invalidated on logout,OWASP:A02,"Warning "
src/auth/routes.py,179,Inconsistent response field,STYLE:19,"Info "
src/auth/routes.py,182:191,User Password leak,OWASP:A02,Error
src/auth/routes.py,193,__all__ at end of file,STYLE:20,Info
src/auth/services.py,10,Using hashlib instead of bcrypt,OWASP:A02,Error
src/auth/services.py,11,Weak JWT library,OWASP:A07,Warning
src/auth/services.py,16,SHA256 for passwords | hashlib.sha256() insecure for passwords,OWASP:A02,Error
src/auth/services.py,16,No salt | No salt,OWASP:A02,Error
src/auth/services.py,20,Timing attack vulnerability,OWASP:A02,Warning
src/auth/services.py,30,No data type checking | to_encode.update() without validation,OWASP:A02,Info
src/auth/services.py,30,No error handler,OWASP:A07,Warning
src/auth/services.py,34,Empty except clause,OWASP:A09,Warning
src/auth/services.py,35,Silent failure |return '' on encoding error,OWASP:A07,Warning
src/auth/services.py,41:46,No token expiry handling | decode_token without exp validation,OWASP:A07,Info
src/auth/services.py,42,No payload validation | payload.get('sub') without checking existence,OWASP:A07,Info
src/auth/services.py,45,"No log of wrong username | No logs just return None ",OWASP:A07,Warning
src/auth/services.py,46,General except clause,OWASP:A09,Warning
src/auth/services.py,52,SQL-injection vulnarability,OWASP:A03,Error
src/auth/services.py,56:61,Weak password hashing,OWASP:A02,Error
src/auth/services.py,66,Empty except,OWASP:A09,Warning
src/auth/services.py,73:84,No rate limiting | authenticate_user without rate limit,OWASP:A07,Warning
src/auth/services.py,77,Timing attack in password check | Different response time for invalid user,OWASP:A02,Warning
src/auth/services.py,83,No locked status check,OWASP:A01,Error
src/auth/services.py,98,"No whitelist of updatable fields | setattr(user, key, value) allows any field",OWASP:A01,Error
src/auth/services.py,98,is_admin can be updated | No protection for is_admin field,OWASP:A01,Error
src/auth/services.py,101,No changes logging,OWASP:A05,Warning
src/auth/services.py,116,No delete logging,OWASP:A05,Warning
src/auth/services.py,125:134,No audit logging,OWASP:A05,Warning
src/auth/services.py,138,SQL injection vulnerability | f-string SQL injection in get_users_by_email,OWASP:A03,Error
src/auth/services.py,136,camelCase parameter,STYLE:11,Error
src/auth/services.py,140,Result isnt typified | return result.fetchall(),OWASP:A03,Info
src/auth/services.py,139,Using execute instead of ORM | db.execute(query) bypasses protection,OWASP:A03,Error
src/auth/schemas.py,10,No email validation | Just email: str without any check,OWASP:A01,Info
src/auth/schemas.py,11,No username validation | No check of username,OWASP:A01,Info
src/auth/schemas.py,17:22,password validation is veak,OWASP:A07,Warning
src/auth/schemas.py,27,No length limit,OWASP:A07,Info
src/auth/schemas.py,34,is_admin leak,OWASP:A01,Info
src/auth/schemas.py,53,UserUpdate contains is_admin: Optional[bool]. Every user can be admin,OWASP:A01,Error
src/config.py,8,DEBUG variable | DEBUG = True in production exposed sensitive data,OWASP:A05,Error
src/config.py,9,Hardcoded SECRET_KEY | SECRET_KEY = 'very_secret_key_12345' hardcoded in source,OWASP:A02,Error
src/config.py,12,camelCase for variable | database_url should be DATABASE_URL,STYLE:2,Info
src/config.py,15,Hardcoded default password | DEFAULT_ADMIN_PASSWORD = 'admin123' in source code,OWASP:A02,Error
src/config.py,17,Excessive file size limit | MAX_FILE_SIZE = 1000000000 (1GB) too permissive,OWASP:A04,Warning
src/config.py,18,STRUCT: wrong directory location | UPLOAD_DIR = 'uploads' should be in separate directory,STRUCT:1,Info
src/config.py,20:22,Mixed naming styles | JWT_EXPIRATION_HOURS snake_case vs jwtRefreshExpiration camelCase,STYLE:3,Info
src/config.py,24,Wildcard CORS origins | CORS_ORIGINS = ['*'] allows all sources,OWASP:A05,Warning
src/config.py,26," | SQL_ECHO = True exposes SQL queries",OWASP:A05,Warning
src/config.py,28:29,Dependency Inversion violation | Config class cannot be extended,SOLID:DIP,Info
src/config.py,31:33,Inconsistent variable declarations,STYLE:4,Info
src/config.py,35,Unrotated log fileLOG_FILE without rotation can consume disk space | LOG_FILE without rotation can consume disk space,OWASP:A05,Warning
src/database.py,1,Imported module haven't been used,STYLE,Info
src/database.py,11,SQL echo in production / SQL_ECHO enables logging all SQL queries,OWASP:A05,Warning
src/database.py,23,Empty except clause | except: without specific exception types,OWASP:A09,Warning
src/database.py,28:50,SRP violation in init_db | Function handles initialization and migrations,SOLID:SRP,Info
src/database.py,42,Hardcoded admin password | hash_password('admin123') hardcoded,OWASP:A02,Error
src/database.py,47,Empty exception handler | except Exception as e: pass ignores errors,OWASP:A09,Error
src/database.py,52:58,No log of errors  | DB connection check isn't logged,OWASP:A05,Warning
src/database.py,60:63,Dangerous function in production | drop_all_tables() accessible without checks,OWASP:A05,Error
src/main.py,17,Debug mode enabled | debug=DEBUG exposes stack traces,OWASP:A05,Error
src/main.py,22,Wildcard CORS | allow_origins=CORS_ORIGINS with ['*'],OWASP:A05,Warning
src/main.py,29,Directory creation without checks | os.makedirs('uploads') without permission checks,OWASP:A04,Info
src/main.py,33,Empty except clause | except: pass silently,OWASP:A09,Warning
src/main.py,36:39,"Unordered imports | Imports scattered, not alphabetical",STYLE:5,Warning
src/main.py,38,Import of orders.routes without of src. wich will cause error,STYLE,Error
src/main.py,41,Inconsistent router registration | Mixed formatting in include_router calls,STYLE:6,Info
src/main.py,38,Debug info exposed | debug=DEBUG in response,OWASP:A05,Warning
src/main.py,44,Missing return type | health_check() without return type annotation,STYLE:7,Info
src/main.py,50:57,Global exception handler,OWASP:A09,Error
src/main.py,68:70,Error exposurestr(exc) returns full error message | str(exc) returns full error message,OWASP:A05,Warning
src/main.py,78,Empty except clause | except: pass without logging,OWASP:A09,Warning
src/main.py,79,Print instead of logging | print() instead of proper logging,OWASP:A05,Info
src/main.py,83,reload=True in production | reload=True can cause issues,OWASP:A05,Warning
src/products/routes.py,23:27,No pagination | get_all_products returns all without limit,OWASP:A04,Warning
src/products/routes.py,44,SQL injection vulnerability | search endpoint uses unsafe search_products,OWASP:A03,Error
src/products/routes.py,55,SQL injection vulnerability | filter endpoint uses unsafe filter_by_price,OWASP:A03,Error
src/products/routes.py,59:71,No authorization on create | Any authenticated user can create products,OWASP:A01,Error
